,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Butyricimonas,3.110613519075283,2.645183822787195,0.7450059893524932,4.7535510706461155,3.340471952209767,3.4236173053027104,3.353138255664798,3.032018804560907
Butyrivibrio,5.5,3.740974798438818,2.116460648240442,2.6022455778353715,2.0021625631599673,5.5,0.8856179390636816,5.5
Caedibacter,,,,,,1.5433206082807982,,
Caldanaerobacter,3.8546836237071496,,2.403748308184852,,4.028771725156354,,5.263223231742081,
Caldicellulosiruptor,3.257434590548653,,,2.4864719638156823,3.4897694364490066,0.7001785480928744,1.6854221262006686,
Caldimonas,5.255963996470352,,,,,,,
Calidifontibacter,,,,,,,4.518219359930217,
Caloramator,,0.871929792483904,,,,,,
Calothrix,,,,,,3.7394515502326966,,
Caminicella,,,,3.605875539747123,,,,
Campylobacter,,,5.21746473229233,,4.299146812272337,,,
Candidatus Aquiluna,,,,,4.4801354348639615,,,
Candidatus Arthromitus,3.150469659901658,0.9222893780412372,0.5,2.6684713034666334,4.450785727182131,2.9215955465644163,1.2384236824688661,3.8617079860708783
Candidatus Bacilloplasma,3.6072895925773403,1.1571938368095893,5.5,4.792393156613714,5.5,2.6559514754971056,4.523833491854355,5.5
Candidatus Lumbricincola,2.7394859088686037,3.2725782238328947,1.9134178313200527,3.7045749990199313,3.7861564791811566,,3.0321870698881854,1.8332666091991265
Candidatus Phytoplasma,5.275601746912344,3.3876879719042576,1.4343446484520705,4.661815185315732,3.8243788242285657,2.0895994137839975,0.6925009485039695,3.097078562680539
Candidatus Puniceispirillum,3.8123359323612935,1.1563044278541916,5.2321963561196165,0.5588730030467022,4.998586146109091,2.3299719777427508,4.62970805196315,2.0729642860647997
Candidatus Rhodoluna,,,,5.342544684723093,,,,
Candidatus Thiobios,,,3.9878132980497676,,,,,
Capnocytophaga,,,,,0.7357936110960268,,,
Cardiobacterium,1.2087045828098981,2.989446957906525,2.0563956740996803,2.797599010538287,1.0650028968672958,4.45293600013858,1.4151362563503023,3.110816764339129
Carnobacterium,,,,,,5.492833189390217,4.768424610493494,2.8783223193550604
Catabacter,3.205344842051988,0.7479460086231762,5.422642695083982,4.889319246983301,3.682434627359152,2.9769503158535198,2.6285410073981144,3.3532339735543863
Catenibacterium,,3.1651680050595674,5.499571151768048,,,,,
Catonella,3.454783974482224,3.9968852377182067,0.5742950396979571,0.6018804163454003,3.58498092293121,3.8703940272891684,0.7506362010129015,3.2162434479261286
Cellulosilyticum,2.5394909368718626,0.8514600929564731,3.674637345893632,4.962634326299314,1.4328552882150598,0.8944519013784791,4.855079900549969,4.0045562760877065
Chelatococcus,,,,1.6548534003156405,,,,
Chitinophaga,,,4.184909344132977,,,,,
Chondromyces,,,,,,1.4493948424303233,,
Christensenella,1.9602646155970893,3.3352104188825917,3.6443693543562725,2.2437769236444245,1.1733836579264434,3.960156419798171,0.8150183212702173,1.8643320485533026
Chryseobacterium,,,,,,0.6151764054709434,,
Citrobacter,,4.4437710262892445,,,3.7221007047172607,5.477993108864736,,
Citromicrobium,3.3193405038540122,,,,,3.454640374813327,3.8098266415792112,
Clavibacter,1.780891085074247,0.8008891045187316,1.9361873346818625,1.1725017038712167,5.184029341032155,0.6116879243815765,0.5458885550043582,4.802950267745389
Cloacibacterium,,,0.6045369810703374,,,1.4068255127302356,0.7240379535341201,3.2587745324533177
Clostridium,5.5,1.6763420846927644,1.1526353666656899,0.5,0.5,1.2600108338820128,1.6337285494656344,1.129792270438406
Cohnella,,,4.707036560809127,,,,,
Collinsella,,,3.718098242676841,,,0.8888488241591208,2.162112130056292,
Colwellia,,3.2615788420040888,,,,,,
Comamonas,,,,,,,,2.36789765665646
Conexibacter,,,,,2.0021668701712043,3.7100194523365038,,
Coprobacillus,2.8380504682881225,5.5,1.1959431525604258,5.5,4.423175688345615,0.5,5.5,0.8483586931640623
Coprobacter,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Coprococcus,4.40207819724587,4.205345731224418,5.273524408315415,3.104255207014614,2.1233652720538467,2.4593123999725517,1.020941155881609,1.3368159112194036
Coriobacterium,3.918811195143461,3.4609407546891457,3.1976540061026277,1.5498148324882794,4.740430428777051,3.506936033090245,4.001407877579724,
Corynebacterium,4.907332489563398,2.389526938987242,5.080736831301326,1.722215430145281,4.536965820229841,3.9570955420641303,4.384337062364898,1.6945046544038718
Cryobacterium,3.2905485740757765,3.0253364153417617,0.766417184134121,2.4044510324712833,1.7944372800664956,2.087863355792651,4.218615830471376,
Cryptobacterium,4.128175071799355,,4.001805610569962,,,,4.118937967608955,
Cupriavidus,3.173571076874278,4.836604159869742,,2.0706696221846,1.6927696434789086,2.5880662096678324,,5.0100852571272165
Curtobacterium,,4.170982041553161,3.0870531951184383,,,,1.7008564972955131,0.7627736678736912
Curvibacter,,,,,,2.01864361352269,,
Cyclobacterium,4.8209579094415895,,1.9291385688106724,2.8753043710965085,,,,
Cytophaga,4.5781740556572945,5.5,4.36356707371507,5.5,3.139168995069441,2.779310364206438,5.5,5.5
Dechloromonas,,,,,,,0.5801393836535129,0.918086391551415
Dehalobacter,,3.480839661031373,,,3.734939092910321,,2.2046205177313096,
Dehalococcoides,,3.971708540434605,,,,,,
Deinococcus,,,,,,,,2.721320736704699
