,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Ralstonia,1.038147426240942,1.7500663447127425,2.795653564762866,0.9664696967990212,0.786264830239868,0.7502373252421886,1.650812604556924,0.5161913802723275
Rapidithrix,3.5189995460527363,1.8548190406282112,3.781184718203936,3.518572082824054,2.9974501839923273,,0.9971010605396402,
Reichenbachiella,,2.6782252797408375,,,,,,
Reyranella,,,0.7549054748933575,,,,,
Rhodanobacter,,,,,,3.5371498017503313,2.268749028448349,
Rhodococcus,3.5978622479657334,,,,4.70668691827978,,,
Rhodospirillum,,,,,3.9640203971306947,,,3.0411106319813475
Rhodothermus,3.9173080150534796,,,,,,,
Rickettsiella,,,,,,2.745577759601752,,
Rikenella,5.5,5.235739934179613,3.436736978499143,1.1754912265976827,2.643462750912677,3.4739562174646754,1.5690835888964025,1.558163175160573
Robinsoniella,3.477911110359766,4.8353988202665645,1.9441284979234645,5.413973154070153,1.1841922368538094,2.257019289304943,,4.414018709275181
Roseburia,5.5,1.7700729624499396,0.8107390906156112,3.001921777657093,5.5,5.5,1.8927207860068953,4.25608428226731
Roseibium,,,2.505006471725221,,,,,
Roseiflexus,,,,,2.7106668768226685,,,
Roseobacter,,1.3259979354575484,,,,,,
Rothia,,2.937334282600855,2.5988322834835955,,2.8101311750614717,2.525651707204436,0.8501941173556551,0.5486260351160137
Rubellimicrobium,,,,,,2.192490627722976,,
Rubrobacter,4.973880933682801,4.4582706545184925,3.271450117028707,,4.452485012728054,0.749867018209875,1.5058209041578139,2.2043542317259304
Ruminococcus,5.5,1.6073367298019816,1.5416767029675766,5.5,5.5,3.75439666577823,5.28350614548247,3.8643171872903173
Ruminofilibacter,4.951673315560891,,3.930586130490108,3.78818226253931,3.249980018670048,4.621666035928392,4.068852404293423,3.3936197754081148
Saccharofermentans,3.591333858082654,,4.051755366121092,,,,,
Saccharomonospora,,,,,,,,3.2558824891356646
Salinibacterium,,,2.2597334772731728,,,,,
Sanguibacter,,,4.442102342577112,,4.946540613989898,2.9873875810854833,,
Sarcina,,,,,,,,4.03274657064725
Schlegelella,,,0.7001785748631195,,,,,
Schwartzia,,,,,1.0544155656954286,,,
Sediminibacterium,,4.247561729154789,3.7722032983773146,1.7066046541800781,,3.2956348404674296,,
Sediminitomix,,,,,,,0.0,
Selenomonas,0.769719455385824,2.0803243185142475,1.878205984121006,3.8893016535743388,4.486902593039048,2.925629514713534,0.7273431454875592,1.2173103118913549
Sharpea,,,,,,,2.423916473050915,
Slackia,5.15056249101861,4.906870040089074,1.2457567581342879,4.594379128374257,3.579321368449732,3.9988458905496884,2.5633719913437147,0.9043703623030872
Solibacillus,2.186644645224005,,,,2.85920207672071,,2.8510432959009937,
Solobacterium,,1.7817125883171976,,,,,,
Sphingobacterium,0.9252980393038195,0.6207833640706761,3.308437845534987,0.783406968958225,3.8474700874357737,3.451165491250833,4.307572326488752,1.5962565942312716
Sphingomonas,,,,3.253829416364759,0.9104115045736507,,2.163639768636581,1.4574108806287698
Sporobacter,0.6404165748611668,1.6833813752851943,3.7077437382411396,2.8068373755728135,1.3854128959022018,0.5218542093642977,4.875967926311078,4.005857952061328
Sporobacterium,1.0526638449420989,,3.0523002574833473,2.6531113539017954,,,1.2778827142470561,5.17322443296067
Sporosarcina,5.366108419948805,1.2163209764163736,1.3549605850329876,3.116650146835881,2.266922266470413,5.5,5.19253753376832,5.12910777742405
Staphylococcus,3.497693995651718,0.5,2.121666537926206,2.002982815990345,0.8415367517550769,0.6292835065218626,4.1869062383471665,1.4475192089916247
Stenotrophomonas,,0.5312231429146417,1.1606706919584844,,,4.289524139408503,,
Steroidobacter,,,,,,5.0924983858266275,5.49213044295996,
Streptococcus,2.5880610716161065,4.543746429003792,2.526476323364256,5.349911377658606,1.2869037978076665,1.5981131702890534,1.9941839261645673,2.192100127463525
Streptomyces,,,,,,,1.6689156234074831,5.314165382888849
Subdoligranulum,0.6240945498711223,1.6840177676947106,1.5961805048162092,0.8219053485863297,4.254585475842839,5.5,2.4215847261640917,3.0242199820129727
Sulfurivirga,,,2.6539662216828526,,,,,
Sutterella,2.7788627523440366,5.078963844387669,,3.71152843271787,4.916821625457622,,,
Syntrophomonas,5.5,1.2996963057101414,2.1068164821901734,0.7734098184233342,0.94858970423021,5.5,5.5,5.5
Syntrophothermus,,,,,1.6036364796111844,,3.2121898894565124,1.3171551528961722
Syntrophus,,1.519448424300553,,,,,,
TM7,2.588777573057483,3.8913913740196957,5.5,0.6901914791642315,4.049740720954531,0.5,2.084482190183031,2.631452309463233
Tannerella,0.5,3.6176252176624084,0.5,1.2171161749230501,1.9130828455660196,4.336483461311878,0.5340329985318676,4.842121560946686
Tepidibacter,3.318026350443196,3.018427452542448,2.1453709108021313,0.5961155069244324,0.5190497990515213,1.0798032338536088,3.189831772494027,4.123092438727161
Tepidimicrobium,,1.7264614108827994,,,,,,4.550978261214164
Tepidimonas,,,1.04772568127644,,,0.7187614511100748,,
Terracoccus,,,,,,3.4542028339559305,4.1733743893294735,
Terrimonas,,,1.393677091793299,,2.759515762883562,,,
Thauera,,,3.78923210112442,,,,,
Thermaerobacter,,,,1.6852003369105102,,,,
Thermanaeromonas,,,4.3395509074567356,,,,4.174978131980639,
Thermincola,,,,,3.1577819062815218,5.36066805512643,5.284840812123566,
Thermobacillus,5.114610562290459,2.4493905401034266,4.494895416370915,2.8806199901160157,0.7378916638006467,,2.5725552720615577,3.5671350528381898
Thermobifida,2.7863864954197215,,,,,,,
Thermodesulfobium,,0.6252083645193709,,,,,,
Thioflavicoccus,5.288646659486265,2.4721657511827173,1.6284308857387688,5.053059606948595,2.6150990332637876,3.18433503049641,4.458530468546179,3.369532015091205
Tolumonas,,,,,,,3.353556476658041,
Treponema,,3.273711826347578,,,,,,
Triticum,,,,,,4.948875705990337,3.3100890587641323,
Tropheryma,,,0.5643988962245325,1.6254771919778346,1.2939499288001948,5.1855256775673295,1.0018740458623858,4.744449875709099
Turicibacter,3.830975773896472,1.2233887608185663,2.8821357311409743,0.769143047247868,5.5,1.7632824691307485,5.5,4.300121216118555
UNDEFINED,5.5,5.008716713500709,0.9631883540191835,5.5,0.5,4.035525923126088,0.5,4.028628718624706
Undibacterium,,,0.7301454924480462,4.632832857763077,,2.111140747502083,,1.3697071712313964
Ureibacillus,,,3.305914052608394,,,,,
Vagococcus,,1.4730776995859118,,,,,,
Veillonella,,,0.5334750570776836,,5.181586793928566,0.9833389798067018,1.733921657023123,
Vibrio,1.2013660956102308,3.8816608410336575,0.9454264800336967,2.153882060792928,1.137690077952065,2.587221773590195,1.8115746216656932,1.0893163010813809
Virgibacillus,,,1.6267747803175707,1.6476878190943018,,1.437040821077092,4.1523609027001624,3.527691362227783
Weissella,4.61344368474994,4.44146227130678,3.9570446531227006,2.4714286892881496,0.6993604242727525,0.5962181428963174,2.8730801814256726,3.810507317989799
Xanthomonas,,,,,,0.7272388993386198,,
Xylanibacter,2.8900123357020124,4.989380004343668,3.051948871599481,4.474506498573504,0.7338165610453897,4.460141437409481,4.538780980760505,3.7043465874015484
Yaniella,0.5406861332185371,,4.70206871804983,1.0182718179937063,3.368818287910186,0.7030631531117448,4.5039641239690065,1.9248869219071074
