Genus,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Denitrobacterium,,,,,,,,
Dermacoccus,,,,,,,,
Desulfatiferula,,,,,,,,
Desulfitobacterium,,,,,,,,
Desulfonatronum,,,,,,,,
Desulfosporosinus,,8.632451247972805,9.508888888888876,11.84865311909265,9.814611593761104,,15.589982843737957,13.418690901800925
Desulfotomaculum,52.090567065171825,,,,15.913468707512871,,,
Desulfovibrio,15.376524766316694,20.41922734096452,19.21411227874756,19.181039571430137,19.428807118612003,146.59801862673473,17.075964557420598,19.563105468749992
Dialister,,,,,,,,
Dietzia,,,,,,,,
Dorea,18.401247300347002,11.24278961704855,26.772223129251717,17.748552693761805,17.575555225211836,21.700740740740738,13.24244444444445,21.46656055363322
Dyella,,,,,,,,
Dysgonomonas,,,,,,,,
Eggerthella,5.482059154080201,5.5517485390796235,5.0497466476302435,4.270611893134152,4.7506763787721065,6.296472453428456,4.210661910424099,8.711666666666652
Emticicia,,,,,,,,
Enterococcus,,,,,,,,
Enterorhabdus,14.297250623612282,14.82868679490301,19.034942106298242,16.830810116754755,12.728360248191981,18.982251365042586,12.599021673210128,14.61444029493441
Erysipelothrix,,,,,,,,
Escherichia,,,,,,,,
Ethanoligenens,,,,,,,,
Eubacterium,333.8747701149425,145.06483238476395,198.99500288373645,130.61048295101685,145.0580260507919,84.94281389026199,122.2219845580184,115.91976446049334
Exiguobacterium,,,,,,,,
Faecalibacterium,,,,,11.628036819073476,11.82947368421051,,4.045036047564059
Ferrovum,,,,,,,,
Fibrobacter,,,,,,,,
Filifactor,,,,,,,,
Flavisolibacter,,,,,,,,
Flavobacterium,,,,,,,,
Flavonifractor,2.656478277585538,3.9920499479708584,,,,2.7394537587885375,,2.666831813978069
Flectobacillus,,,,,,,,
Flexibacter,,,,,,,,
Flexithrix,,,,,,,,
Frigoribacterium,,,,,,,,
Frondihabitans,,,,,,,,
Fulvivirga,,,,,,,,
Fusobacterium,,1.0,,,,,,
Gemella,,,,,,,,
Geobacillus,,,,,,,,
Geodermatophilus,,,,,,,,
Glycine,,,,,,,,
Gordonibacter,6.8765201977285,6.559966216216215,9.109110495537088,4.724655977780582,4.803583168967786,6.683673469387753,5.282258774827147,5.107205387205385
Granulicatella,,,,,,,,
Haemophilus,,,,,,,,
Hafnia,,,,,,,,
Halobacillus,,,,,,,,
Halomonas,,,,,,,,
Helicobacter,,,,,,,,
Herbaspirillum,,,,,,,,
Herbiconiux,,,,,,,,
Hoeflea,,,,,3.806881430258051,,,
Holdemania,,,,,,,,
Howardella,,,,,,,,
Hydrogenoanaerobacterium,3.5392440781168797,,,,,,,
Hydrogenophaga,,,,,,,,
Hymenobacter,,,,,,,,
Hyphomicrobium,,,,,,,,
Idiomarina,,,,,,,,
Ilumomonas,,,,,,,,
Intestinimonas,10.479201009875986,9.748385185185182,7.118585705887294,8.460932577189665,8.997851239669425,11.798518518518522,7.450730588093226,7.203478002378117
Intrasporangium,,,,,,,,
Janibacter,,,,,,,,
Janthinobacterium,,,,,,,,
Jeotgalicoccus,,,,,,,,
Kingella,,,,,,,,
Klebsiella,,,,,,,,
Kocuria,,,,,,,,
Kouleothrix,,,,,,,,
Kurthia,,,,,,,,
Labedella,,,,,,,,
Lachnobacterium,,,,,,,,
Lachnospira,7.816372621957667,,,,,,,
Lacibacter,,,,,,,,
Lactobacillus,659.1490129678152,1189.3597045636454,1129.7788176250606,1014.7366323882077,1062.9279284091326,1131.028827948989,987.3813869850476,1056.1381605466927
Lactococcus,11.407353964286642,111.85165666088378,21.342918231407985,18.95789041787653,16.547441998810314,8.313683071930773,18.113074948449302,28.5418339100346
Lactonifactor,,,,,,,,
Lautropia,,,,,,,,
Legionella,,,,,,,,
Leifsonia,,,,,,,,
Leptolinea,,,,,,,,
Leptothrix,,,,,,,,
Leptotrichia,,,,,,,,
Leucobacter,,,,1.0,,,,
Leuconostoc,,,,,,,,
Limibacter,3.8646787796751334,2.596413647612477,3.3257786138732093,3.231897040819373,3.4861358332344445,3.0735802469135822,3.470834243625355,3.082906574394463
Listeria,,,,,,,,
Luteimicrobium,,,,,,,,
Lutispora,,,,,,,,
Lysobacter,,,,,,,,
Macrococcus,,,,,,,,
Mahella,,,,,,,,
Mangrovimonas,,,,,,,,
Maribacter,,,,,,,,
Marinifilum,,,,,,1.0,,
Marinilabilia,,,,,,,,
Marinilactibacillus,,,,,,,,
Mariniradius,,,,,,,,
Marinomonas,,,,,,,,
Marivirga,,,,,,,,
Marmoricola,,,,,,,,
Marvinbryantia,11.162790412704663,20.916796875000006,11.705070167496658,7.5883152173913055,,10.606805293005651,19.63839506172832,10.957887435592555
Massilia,,,,,,,,
Megamonas,,,,,,,,
Megasphaera,,,,,,,,
Meniscus,,,,,,,,
Mesoflavibacter,,,,,,,,
Methylibium,,,,,,,,
Methylobacterium,,,,,,,,
Methylophaga,,,,,,,,
Methylophilus,,,,,,,,
Methylosinus,,,,,,,,
Microbacterium,,,,,,,,
Micrococcus,,,,,,,,
Mitsuaria,,,,,,,,
Mogibacterium,,,,,,,,
Moorella,,,,,,,,
Moraxella,,,,,,,,
Mucispirillum,57.138507390897324,,13.866186725206585,11.661690443125858,15.643807082198386,,,10.39870407609564
Mycobacterium,,,,,,,,
Natronincola,,,,,,,,
Nautilia,,,,,,,,
Neisseria,,,,,,,,
Nevskia,,,,,,,,
Nitrosomonas,,,,,,,,
Nocardioides,,,,,,,,
Nocardiopsis,,,,,,,,
Nostoc,,,,,,,,
Nubsella,50.97619114984156,36.343417419510494,33.068967966474894,33.247125046370215,25.356157643866712,32.31041505874281,33.341910689385436,24.207451441771884
OP10,,,,,,,,
Oceanobacillus,,,,,,,,
Octadecabacter,,,,,,,,
Odoribacter,23.373780756788552,11.689520873057731,19.799963476990502,12.911326107079942,18.169886983805455,21.527986964372218,10.229975308641976,9.331811497554805
Ohtaekwangia,,,,,,,,
Okibacterium,,,,,,,,
Olivibacter,,,,,,,,
Olsenella,,,,,,,,
Opitutus,,,,,,,,
Oribacterium,,,,,,,,
Ornithinibacillus,,,,,,,,
Oscillibacter,39.43889452681315,24.187731954785683,26.17521929824562,25.91703130993645,24.51681067624461,26.50537598204265,21.960774691358022,22.489962346413
Oscillospira,8.139250493096606,,,4.968829534730782,6.66365645480873,8.022469008264459,,5.305524691358029
Paenibacillus,,,57.398268585963855,,26.376412947031373,,,
Paludibacter,10.350881280666647,6.908792914536157,8.854220788915763,7.047746496654463,6.943664751545985,7.095168419448256,8.22708981680973,5.874567474048444
Pantoea,,,,,,,,
Papillibacter,,,,,,,,
Parabacteroides,243.41070519897033,195.78422200522257,182.18143397211063,204.3913309198602,193.99040343178328,210.6683654675773,197.84825854239494,204.24739835989837
Paraeggerthella,5.919774999999995,8.537614164396734,9.64907254253306,6.566842843918907,4.350464669123531,6.3859126984127,4.784402221941676,6.083575505059344
Parapedobacter,,,,,,,,
Paraprevotella,43.91043055419403,47.75231444391033,38.436678841003214,43.61898053164798,44.950224498698695,102.98411486121061,42.731543209876534,49.336367233874164
Parasporobacterium,,,,,,6.678589876033064,,
Parasutterella,27.08167906700557,29.799171637854073,23.80385801953512,30.718934240362817,20.050035399449897,13.654002163331521,22.32838842975206,17.998234089143185
Parvimonas,,,,,,,,
Pedobacter,,,,,,,,
Pedosphaera,,,,,,,,
Pelobacter,,,,,,,,
Pelomonas,,,,,,,,
Pelospora,,,,,,,,
Peptococcus,87.56036323322036,59.24688148148147,60.62377702623906,108.608220407345,106.66464925905485,86.8135775862069,70.50386424536418,88.41091757015307
Peptoniphilus,,,,,,,,
Peptostreptococcus,,,,,,,,
