,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,12.0,28.0,13.0,9.0,30.0,12.0,9.0,16.0,16.125,8.271076972541985
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,15.0,7.0,9.0,4.0,8.0,12.0,12.0,16.0,10.375,4.103569874424672
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,16.0,7.0,11.0,12.0,23.0,12.0,9.0,8.0,12.25,5.175491695067657
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,17.0,13.0,16.0,17.0,9.0,15.0,7.0,10.0,13.0,3.8913824205360674
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,10.0,3.0,19.0,7.0,16.0,15.0,8.0,23.0,12.625,6.738747234146291
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,12.0,3.0,17.0,9.0,17.0,8.0,12.0,14.0,11.5,4.750939756661683
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,12.0,15.0,27.0,11.0,13.0,23.0,10.0,15.0,15.75,6.065122775815365
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,9.0,9.0,28.0,13.0,23.0,21.0,21.0,27.0,18.875,7.605214376615936
182,182,,,,,,,,,,
183,183,,,,,,,,,,
184,184,,,,,,,,,,
185,185,,,,,,,,,,
186,186,,,,,,,,,,
187,187,,,,,,,,,,
188,188,14.0,9.0,27.0,17.0,17.0,19.0,21.0,35.0,19.875,8.025628591313847
189,189,,,,,,,,,,
190,190,,,,,,,,,,
191,191,,,,,,,,,,
192,192,,,,,,,,,,
193,193,,,,,,,,,,
194,194,,,,,,,,,,
195,195,6.0,19.0,10.0,15.0,13.0,12.0,13.0,9.0,12.125,3.943801646707328
196,196,,,,,,,,,,
197,197,,,,,,,,,,
198,198,,,,,,,,,,
199,199,,,,,,,,,,
200,200,,,,,,,,,,
201,201,,,,,,,,,,
202,202,,,,,,,,,,
203,203,7.0,10.0,25.0,20.0,9.0,0.0,21.0,23.0,14.375,9.038607667745545
204,204,,,,,,,,,,
205,205,,,,,,,,,,
206,206,,,,,,,,,,
207,207,,,,,,,,,,
208,208,,,,,,,,,,
209,209,,,,,,,,,,
210,210,8.0,9.0,22.0,26.0,30.0,3.0,26.0,17.0,17.625,9.956153875869939
211,211,,,,,,,,,,
212,212,,,,,,,,,,
213,213,,,,,,,,,,
214,214,,,,,,,,,,
215,215,,,,,,,,,,
216,216,11.0,18.0,10.0,14.0,30.0,26.0,10.0,17.0,17.0,7.502380574571933
217,217,,,,,,,,,,
218,218,,,,,,,,,,
219,219,,,,,,,,,,
220,220,,,,,,,,,,
221,221,,,,,,,,,,
222,222,,,,,,,,,,
223,223,11.0,16.0,23.0,27.0,16.0,6.0,18.0,20.0,17.125,6.599512969043355
224,224,,,,,,,,,,
225,225,,,,,,,,,,
226,226,,,,,,,,,,
227,227,,,,,,,,,,
228,228,,,,,,,,,,
229,229,,,,,,,,,,
230,230,,,,,,,,,,
231,231,15.0,14.0,18.0,20.0,27.0,1.0,16.0,19.0,16.25,7.363035088486657
232,232,,,,,,,,,,
233,233,,,,,,,,,,
234,234,,,,,,,,,,
235,235,,,,,,,,,,
236,236,,,,,,,,,,
237,237,,,,,,,,,,
238,238,20.0,18.0,25.0,36.0,23.0,9.0,14.0,30.0,21.875,8.6427095619041
239,239,,,,,,,,,,
240,240,,,,,,,,,,
241,241,,,,,,,,,,
242,242,,,,,,,,,,
243,243,,,,,,,,,,
244,244,14.0,10.0,12.0,15.0,17.0,3.0,27.0,24.0,15.25,7.629828681843762
245,245,,,,,,,,,,
246,246,,,,,,,,,,
247,247,,,,,,,,,,
248,248,,,,,,,,,,
249,249,,,,,,,,,,
250,250,,,,,,,,,,
251,251,,,,,,,,,,
252,252,15.0,19.0,20.0,20.0,43.0,12.0,60.0,30.0,27.375,16.405029716522918
253,253,,,,,,,,,,
254,254,,,,,,,,,,
255,255,,,,,,,,,,
256,256,,,,,,,,,,
257,257,,,,,,,,,,
258,258,,,,,,,,,,
259,259,9.0,13.0,19.0,7.0,16.0,30.0,8.0,12.0,14.25,7.55456342692472
260,260,,,,,,,,,,
261,261,,,,,,,,,,
262,262,,,,,,,,,,
263,263,,,,,,,,,,
264,264,,,,,,,,,,
265,265,,,,,,,,,,
266,266,,,,,,,,,,
267,267,15.0,6.0,11.0,17.0,31.0,3.0,11.0,3.0,12.125,9.21857596688029
268,268,,,,,,,,,,
269,269,,,,,,,,,,
270,270,,,,,,,,,,
271,271,,,,,,,,,,
272,272,,,,,,,,,,
273,273,,,,,,,,,,
274,274,8.0,12.0,3.0,15.0,20.0,26.0,,18.0,14.571428571428571,7.699721701835351
275,275,,,,,,,,,,
276,276,,,,,,,,,,
277,277,,,,,,,,,,
278,278,,,,,,,,,,
279,279,17.0,12.0,10.0,12.0,20.0,23.0,24.0,22.0,17.5,5.5549205986353085
280,280,,,,,,,,,,
281,281,,,,,,,,,,
282,282,,,,,,,,,,
283,283,,,,,,,,,,
284,284,,,,,,,,,,
285,285,,,,,,,,,,
286,286,,,,,,,,,,
287,287,8.0,7.0,11.0,23.0,14.0,17.0,1.0,32.0,14.125,9.833434220628547
288,288,,,,,,,,,,
289,289,,,,,,,,,,
290,290,,,,,,,,,,
291,291,,,,,,,,,,
292,292,,,,,,,,,,
293,293,,,,,,,,,,
294,294,19.0,18.0,20.0,25.0,40.0,15.0,9.0,13.0,19.875,9.448166866797873
295,295,,,,,,,,,,
296,296,,,,,,,,,,
297,297,,,,,,,,,,
298,298,,,,,,,,,,
299,299,,,,,,,,,,
300,300,,,,,,,,,,
301,301,,,,,,,,,,
302,302,,,,,,,,,,
303,303,7.0,8.0,17.0,36.0,16.0,6.0,8.0,11.0,13.625,9.927415143357884
304,304,,,,,,,,,,
305,305,,,,,,,,,,
306,306,,,,,,,,,,
307,307,,,,,,,,,,
308,308,19.0,27.0,18.0,21.0,9.0,5.0,24.0,16.0,17.375,7.347254103210454
309,309,,,,,,,,,,
310,310,,,,,,,,,,
311,311,,,,,,,,,,
312,312,,,,,,,,,,
313,313,,,,,,,,,,
314,314,,,,,,,,,,
315,315,13.0,5.0,6.0,14.0,18.0,19.0,11.0,20.0,13.25,5.70087712549569
316,316,,,,,,,,,,
317,317,,,,,,,,,,
318,318,,,,,,,,,,
319,319,,,,,,,,,,
320,320,,,,,,,,,,
321,321,,,,,,,,,,
322,322,12.0,7.0,16.0,11.0,17.0,13.0,17.0,34.0,15.875,8.078852464481397
323,323,,,,,,,,,,
324,324,,,,,,,,,,
325,325,,,,,,,,,,
326,326,,,,,,,,,,
327,327,,,,,,,,,,
328,328,,,,,,,,,,
329,329,19.0,2.0,13.0,53.0,19.0,16.0,18.0,23.0,20.375,14.598801320656433
330,330,,,,,,,,,,
331,331,,,,,,,,,,
332,332,,,,,,,,,,
333,333,,,,,,,,,,
334,334,,,,,,,,,,
335,335,,,,,,,,,,
336,336,,,,,,,,,,
337,337,,,,,,,,,,
338,338,24.0,17.0,6.0,31.0,16.0,15.0,10.0,5.0,15.5,8.831760866327848
339,339,,,,,,,,,,
340,340,,,,,,,,,,
341,341,,,,,,,,,,
342,342,,,,,,,,,,
343,343,,,,,,,,,,
344,344,,,,,,,,,,
345,345,,,,,,,,,,
346,346,9.0,12.0,7.0,22.0,18.0,12.0,10.0,25.0,14.375,6.523309852258394
347,347,,,,,,,,,,
348,348,,,,,,,,,,
349,349,,,,,,,,,,
350,350,,,,,,,,,,
351,351,,,,,,,,,,
352,352,13.0,18.0,22.0,6.0,10.0,26.0,14.0,18.0,15.875,6.468329437674439
353,353,,,,,,,,,,
354,354,,,,,,,,,,
355,355,,,,,,,,,,
