,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
133,133,3.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.25,1.2817398889233114
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.625,0.9161253813129043
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.6035674514745464
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.875,1.1259916264596033
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.875,1.1259916264596033
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.375,1.1877349391654208
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.9258200997725514
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,1.0,1.0,1.0,3.0,0.0,1.0,1.0,5.0,1.625,1.5979898086569353
182,182,,,,,,,,,,
183,183,,,,,,,,,,
184,184,,,,,,,,,,
185,185,,,,,,,,,,
186,186,,,,,,,,,,
187,187,,,,,,,,,,
188,188,1.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,1.125,1.1259916264596033
189,189,,,,,,,,,,
190,190,,,,,,,,,,
191,191,,,,,,,,,,
192,192,,,,,,,,,,
193,193,,,,,,,,,,
194,194,,,,,,,,,,
195,195,3.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,1.375,1.1877349391654208
196,196,,,,,,,,,,
197,197,,,,,,,,,,
198,198,,,,,,,,,,
199,199,,,,,,,,,,
200,200,,,,,,,,,,
201,201,,,,,,,,,,
202,202,,,,,,,,,,
203,203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
204,204,,,,,,,,,,
205,205,,,,,,,,,,
206,206,,,,,,,,,,
207,207,,,,,,,,,,
208,208,,,,,,,,,,
209,209,,,,,,,,,,
210,210,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.75,0.8864052604279183
211,211,,,,,,,,,,
212,212,,,,,,,,,,
213,213,,,,,,,,,,
214,214,,,,,,,,,,
215,215,,,,,,,,,,
216,216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.375,0.7440238091428449
217,217,,,,,,,,,,
218,218,,,,,,,,,,
219,219,,,,,,,,,,
220,220,,,,,,,,,,
221,221,,,,,,,,,,
222,222,,,,,,,,,,
223,223,3.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.125,1.1259916264596033
224,224,,,,,,,,,,
225,225,,,,,,,,,,
226,226,,,,,,,,,,
227,227,,,,,,,,,,
228,228,,,,,,,,,,
229,229,,,,,,,,,,
230,230,,,,,,,,,,
231,231,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.7559289460184544
232,232,,,,,,,,,,
233,233,,,,,,,,,,
234,234,,,,,,,,,,
235,235,,,,,,,,,,
236,236,,,,,,,,,,
237,237,,,,,,,,,,
238,238,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.875,1.4577379737113252
239,239,,,,,,,,,,
240,240,,,,,,,,,,
241,241,,,,,,,,,,
242,242,,,,,,,,,,
243,243,,,,,,,,,,
244,244,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.875,1.1259916264596033
245,245,,,,,,,,,,
246,246,,,,,,,,,,
247,247,,,,,,,,,,
248,248,,,,,,,,,,
249,249,,,,,,,,,,
250,250,,,,,,,,,,
251,251,,,,,,,,,,
252,252,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.875,1.1259916264596033
253,253,,,,,,,,,,
254,254,,,,,,,,,,
255,255,,,,,,,,,,
256,256,,,,,,,,,,
257,257,,,,,,,,,,
258,258,,,,,,,,,,
259,259,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.6035674514745464
260,260,,,,,,,,,,
261,261,,,,,,,,,,
262,262,,,,,,,,,,
263,263,,,,,,,,,,
264,264,,,,,,,,,,
265,265,,,,,,,,,,
266,266,,,,,,,,,,
267,267,1.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,1.4142135623730951
268,268,,,,,,,,,,
269,269,,,,,,,,,,
270,270,,,,,,,,,,
271,271,,,,,,,,,,
272,272,,,,,,,,,,
273,273,,,,,,,,,,
274,274,3.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.7142857142857143,1.2535663410560174
