,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,0.0,1.0,3.0,5.0,5.0,2.0,2.0,5.0,2.875,1.9594095320493148
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,1.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,1.375,1.5979898086569353
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,2.0,1.0,3.0,2.0,7.0,2.0,4.0,4.0,3.125,1.8850918886280925
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,9.0,2.0,1.0,2.0,3.0,2.0,0.0,3.0,2.75,2.712405363721075
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,0.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,1.5,1.6903085094570331
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,2.0,1.0,2.0,5.0,1.0,8.0,7.0,0.0,3.25,3.011881234615431
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,6.0,1.0,7.0,5.0,3.0,7.0,2.0,0.0,3.875,2.748376143938713
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,2.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,2.5,1.8516401995451028
182,182,,,,,,,,,,
183,183,,,,,,,,,,
184,184,,,,,,,,,,
185,185,,,,,,,,,,
186,186,,,,,,,,,,
187,187,,,,,,,,,,
188,188,7.0,0.0,2.0,3.0,1.0,6.0,12.0,0.0,3.875,4.189698250300543
189,189,,,,,,,,,,
190,190,,,,,,,,,,
191,191,,,,,,,,,,
192,192,,,,,,,,,,
193,193,,,,,,,,,,
194,194,,,,,,,,,,
195,195,2.0,5.0,4.0,3.0,1.0,0.0,3.0,2.0,2.5,1.6035674514745464
196,196,,,,,,,,,,
197,197,,,,,,,,,,
198,198,,,,,,,,,,
199,199,,,,,,,,,,
200,200,,,,,,,,,,
201,201,,,,,,,,,,
202,202,,,,,,,,,,
203,203,3.0,0.0,0.0,4.0,2.0,0.0,6.0,2.0,2.125,2.1671244937540095
204,204,,,,,,,,,,
205,205,,,,,,,,,,
206,206,,,,,,,,,,
207,207,,,,,,,,,,
208,208,,,,,,,,,,
209,209,,,,,,,,,,
210,210,1.0,2.0,2.0,6.0,4.0,0.0,4.0,3.0,2.75,1.9086270308410553
211,211,,,,,,,,,,
212,212,,,,,,,,,,
213,213,,,,,,,,,,
214,214,,,,,,,,,,
215,215,,,,,,,,,,
216,216,1.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.125,2.2320714274285347
217,217,,,,,,,,,,
218,218,,,,,,,,,,
219,219,,,,,,,,,,
220,220,,,,,,,,,,
221,221,,,,,,,,,,
222,222,,,,,,,,,,
223,223,1.0,0.0,2.0,4.0,4.0,1.0,2.0,3.0,2.125,1.4577379737113252
224,224,,,,,,,,,,
225,225,,,,,,,,,,
226,226,,,,,,,,,,
227,227,,,,,,,,,,
228,228,,,,,,,,,,
229,229,,,,,,,,,,
230,230,,,,,,,,,,
231,231,2.0,2.0,3.0,2.0,3.0,0.0,2.0,1.0,1.875,0.9910312089651149
232,232,,,,,,,,,,
233,233,,,,,,,,,,
234,234,,,,,,,,,,
235,235,,,,,,,,,,
236,236,,,,,,,,,,
237,237,,,,,,,,,,
238,238,0.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,1.125,1.3562026818605375
239,239,,,,,,,,,,
240,240,,,,,,,,,,
241,241,,,,,,,,,,
242,242,,,,,,,,,,
243,243,,,,,,,,,,
244,244,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.875,1.3562026818605375
245,245,,,,,,,,,,
246,246,,,,,,,,,,
247,247,,,,,,,,,,
248,248,,,,,,,,,,
249,249,,,,,,,,,,
250,250,,,,,,,,,,
251,251,,,,,,,,,,
252,252,0.0,2.0,3.0,4.0,3.0,6.0,6.0,0.0,3.0,2.32992949004287
253,253,,,,,,,,,,
254,254,,,,,,,,,,
255,255,,,,,,,,,,
256,256,,,,,,,,,,
257,257,,,,,,,,,,
258,258,,,,,,,,,,
259,259,4.0,0.0,0.0,2.0,6.0,5.0,3.0,0.0,2.5,2.390457218668787
260,260,,,,,,,,,,
261,261,,,,,,,,,,
262,262,,,,,,,,,,
263,263,,,,,,,,,,
264,264,,,,,,,,,,
265,265,,,,,,,,,,
266,266,,,,,,,,,,
267,267,5.0,6.0,3.0,2.0,3.0,0.0,1.0,0.0,2.5,2.2038926600773587
268,268,,,,,,,,,,
269,269,,,,,,,,,,
270,270,,,,,,,,,,
271,271,,,,,,,,,,
272,272,,,,,,,,,,
273,273,,,,,,,,,,
274,274,3.0,7.0,1.0,6.0,0.0,0.0,,3.0,2.857142857142857,2.794552524023087
275,275,,,,,,,,,,
276,276,,,,,,,,,,
277,277,,,,,,,,,,
278,278,,,,,,,,,,
279,279,3.0,0.0,1.0,6.0,1.0,0.0,6.0,0.0,2.125,2.5877458475338284
280,280,,,,,,,,,,
281,281,,,,,,,,,,
282,282,,,,,,,,,,
283,283,,,,,,,,,,
284,284,,,,,,,,,,
285,285,,,,,,,,,,
286,286,,,,,,,,,,
287,287,3.0,1.0,2.0,3.0,1.0,2.0,0.0,5.0,2.125,1.5526475085202969
288,288,,,,,,,,,,
289,289,,,,,,,,,,
290,290,,,,,,,,,,
291,291,,,,,,,,,,
292,292,,,,,,,,,,
293,293,,,,,,,,,,
294,294,6.0,1.0,0.0,4.0,1.0,2.0,1.0,2.0,2.125,1.9594095320493148
295,295,,,,,,,,,,
296,296,,,,,,,,,,
297,297,,,,,,,,,,
298,298,,,,,,,,,,
299,299,,,,,,,,,,
300,300,,,,,,,,,,
301,301,,,,,,,,,,
302,302,,,,,,,,,,
303,303,6.0,0.0,2.0,7.0,0.0,5.0,3.0,2.0,3.125,2.6423744732991303
304,304,,,,,,,,,,
305,305,,,,,,,,,,
306,306,,,,,,,,,,
307,307,,,,,,,,,,
308,308,2.0,3.0,3.0,3.0,1.0,3.0,7.0,4.0,3.25,1.7525491637693282
309,309,,,,,,,,,,
310,310,,,,,,,,,,
311,311,,,,,,,,,,
312,312,,,,,,,,,,
313,313,,,,,,,,,,
314,314,,,,,,,,,,
315,315,3.0,0.0,1.0,6.0,4.0,4.0,2.0,0.0,2.5,2.138089935299395
316,316,,,,,,,,,,
317,317,,,,,,,,,,
318,318,,,,,,,,,,
319,319,,,,,,,,,,
320,320,,,,,,,,,,
321,321,,,,,,,,,,
322,322,7.0,1.0,2.0,2.0,3.0,3.0,1.0,5.0,3.0,2.0701966780270626
323,323,,,,,,,,,,
324,324,,,,,,,,,,
325,325,,,,,,,,,,
326,326,,,,,,,,,,
327,327,,,,,,,,,,
328,328,,,,,,,,,,
329,329,3.0,0.0,2.0,9.0,2.0,2.0,1.0,5.0,3.0,2.8284271247461903
330,330,,,,,,,,,,
331,331,,,,,,,,,,
332,332,,,,,,,,,,
333,333,,,,,,,,,,
334,334,,,,,,,,,,
335,335,,,,,,,,,,
336,336,,,,,,,,,,
337,337,,,,,,,,,,
338,338,1.0,4.0,1.0,0.0,1.0,9.0,0.0,1.0,2.125,3.044315545875155
339,339,,,,,,,,,,
340,340,,,,,,,,,,
341,341,,,,,,,,,,
342,342,,,,,,,,,,
343,343,,,,,,,,,,
344,344,,,,,,,,,,
345,345,,,,,,,,,,
346,346,1.0,1.0,1.0,3.0,0.0,5.0,0.0,7.0,2.25,2.5495097567963922
347,347,,,,,,,,,,
348,348,,,,,,,,,,
349,349,,,,,,,,,,
350,350,,,,,,,,,,
351,351,,,,,,,,,,
352,352,0.0,3.0,0.0,5.0,1.0,9.0,1.0,0.0,2.375,3.2043497223082786
353,353,,,,,,,,,,
354,354,,,,,,,,,,
